Time,Ecg1
19:35:54.429,-610.0
19:35:54.469,-485.0
19:35:54.509,-386.0
19:35:54.549,-299.0
19:35:54.589,-251.0
19:35:54.629,-71.0
19:35:54.669,-48.0
19:35:55.388,-52.0
19:35:55.428,2520.0
19:35:55.468,1420.0
19:35:55.508,438.0
19:35:55.548,-4.0
19:35:55.588,-6.0
19:35:55.628,169.0
19:35:55.668,107.0
19:35:55.708,-135.0
19:35:55.748,-288.0
19:35:55.788,-308.0
19:35:55.828,-317.0
19:35:55.868,-331.0
19:35:55.908,-297.0
19:35:55.948,-296.0
19:35:55.988,-244.0
19:35:56.028,-183.0
19:35:56.068,-115.0
19:35:56.108,-229.0
19:35:56.148,-507.0
19:35:56.188,2670.0
19:35:56.228,1386.0
19:35:56.268,304.0
19:35:56.308,-150.0
19:35:56.348,-191.0
19:35:56.388,-11.0
19:35:56.428,-44.0
19:35:56.468,-243.0
19:35:56.508,-440.0
19:35:56.548,-482.0
19:35:56.588,-509.0
19:35:56.628,-497.0
19:35:56.668,-450.0
19:35:56.708,-376.0
19:35:56.748,-296.0
19:35:56.788,-212.0
19:35:56.828,-71.0
19:35:56.868,-298.0
19:35:56.908,-435.0
19:35:56.948,891.0
19:35:56.988,1255.0
19:35:57.028,395.0
19:35:57.068,30.0
19:35:57.108,-9.0
19:35:57.148,164.0
19:35:57.188,150.0
19:35:57.228,-122.0
19:35:57.268,-277.0
19:35:57.308,-335.0
19:35:57.348,-308.0
19:35:57.388,-221.0
19:35:57.428,-278.0
19:35:57.468,-311.0
19:35:57.508,-271.0
19:35:57.548,-219.0
19:35:57.588,-159.0
19:35:57.628,-42.0
19:35:57.668,-67.0
19:35:57.708,-199.0
19:35:57.748,3035.0
19:35:57.788,1738.0
19:35:57.828,513.0
19:35:57.868,-39.0
19:35:57.908,-44.0
19:35:57.948,172.0
19:35:57.988,59.0
19:35:58.028,-238.0
19:35:58.068,-417.0
19:35:58.108,-457.0
19:35:58.148,-469.0
19:35:58.188,-424.0
19:35:58.228,-384.0
19:35:58.268,-409.0
19:35:58.308,-421.0
19:35:58.348,-415.0
19:35:58.388,-203.0
19:35:58.428,-230.0
19:35:58.468,-330.0
19:35:58.508,-770.0
19:35:58.548,770.0
19:35:58.588,436.0
19:35:58.628,80.0
19:35:58.668,16.0
19:35:58.708,216.0
19:35:58.748,458.0
19:35:58.788,269.0
19:35:58.828,2.0
19:35:58.868,-97.0
19:35:58.908,-85.0
19:35:58.948,-19.0
19:35:58.988,54.0
19:35:59.028,78.0
19:35:59.068,72.0
19:35:59.108,34.0
19:35:59.148,25.0
19:35:59.188,128.0
19:35:59.228,16.0
19:35:59.268,-124.0
19:35:59.308,-531.0
19:35:59.348,523.0
19:36:03.882,300.0
19:36:03.922,-46.0
19:36:03.962,-138.0
19:36:04.002,-20.0
19:36:04.042,-230.0
19:36:04.082,-571.0
19:36:04.122,-840.0
19:36:04.162,-851.0
19:36:04.202,-766.0
19:36:04.242,-699.0
19:36:04.282,-705.0
19:36:04.322,-682.0
19:36:04.362,-634.0
19:36:04.402,-555.0
19:36:04.442,-392.0
19:36:04.482,-231.0
19:36:04.522,-221.0
19:36:04.562,-458.0
19:36:04.602,1955.0
19:36:04.642,1387.0
19:36:04.682,622.0
19:36:04.722,334.0
19:36:04.762,401.0
19:36:04.802,545.0
19:36:04.842,353.0
19:36:04.882,20.0
19:36:04.922,-307.0
19:36:04.962,-554.0
19:36:05.002,-677.0
19:36:05.042,-721.0
19:36:05.082,-674.0
19:36:05.122,-469.0
19:36:05.162,-203.0
19:36:05.202,-95.0
19:36:05.242,173.0
19:36:05.282,25.0
19:36:05.322,0.0
19:36:05.362,86.0
19:36:05.402,1051.0
19:36:05.442,565.0
19:36:05.482,318.0
19:36:05.522,292.0
19:36:05.562,526.0
19:36:05.602,564.0
19:36:05.642,212.0
19:36:05.682,-68.0
19:36:05.722,-379.0
19:36:05.762,-387.0
19:36:05.802,-219.0
19:36:05.842,-44.0
19:36:05.882,-7.0
19:36:05.922,-11.0
19:36:05.962,-66.0
19:36:06.002,123.0
19:36:06.042,-31.0
19:36:06.082,-169.0
19:36:06.122,-400.0
19:36:06.162,780.0
19:36:06.202,479.0
19:36:06.242,309.0
19:36:06.282,470.0
19:36:06.322,765.0
19:36:06.362,996.0
19:36:06.402,855.0
19:36:06.442,601.0
19:36:06.482,452.0
19:36:06.522,295.0
19:36:06.562,348.0
19:36:06.602,466.0
19:36:06.642,459.0
19:36:06.682,273.0
19:36:06.722,291.0
19:36:06.762,313.0
19:36:06.802,132.0
19:36:06.842,108.0
19:36:06.882,2426.0
19:36:06.922,1922.0
19:36:06.962,826.0
19:36:07.002,458.0
19:36:07.042,501.0
19:36:07.082,758.0
19:36:07.122,627.0
19:36:07.162,153.0
19:36:07.202,-153.0
19:36:07.242,-236.0
19:36:07.282,-203.0
19:36:07.322,-241.0
19:36:07.362,-231.0
19:36:07.402,-282.0
19:36:07.442,-152.0
19:36:07.482,49.0
19:36:07.522,-84.0
19:36:07.562,-163.0
19:36:07.602,3574.0
19:36:07.642,1962.0
19:36:07.682,818.0
19:36:07.722,362.0
19:36:07.762,281.0
19:36:07.802,469.0
